ó^Ç¶ÇΩèdóvìx,0.110000,0.210000,0.100000,0.200000,0.090000,0.190000,0.080000,0.180000,0.070000,0.170000,0.060000,0.160000,0.050000,0.150000,0.040000,0.140000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],wL[6],wR[6],wL[7],wR[7],ãÊä‘ïùÇÃëçòa
1,0.067247, 0.237441,0.009511, 0.245108,0.049081, 0.324973,0.055543, 0.183300,0.021988, 0.249001,0.049478, 0.136922,0.047620, 0.152344,0.000001, 0.170445,1.399064
2,0.109136, 0.207687,0.060562, 0.280120,0.080033, 0.289126,0.096161, 0.145299,0.000001, 0.244819,0.000001, 0.143956,0.000001, 0.192322,0.022927, 0.127849,1.262356
3,0.068965, 0.214767,0.057269, 0.258820,0.077912, 0.241003,0.064791, 0.196671,0.075475, 0.163743,0.001609, 0.179756,0.054297, 0.129746,0.081615, 0.133561,1.036133
4,0.123487, 0.239065,0.050769, 0.319259,0.035422, 0.180016,0.043369, 0.183902,0.068725, 0.200077,0.092982, 0.179477,0.027936, 0.163855,0.030872, 0.060788,1.052874
5,0.082798, 0.218301,0.005243, 0.247043,0.000001, 0.263845,0.074987, 0.192290,0.093900, 0.132982,0.126515, 0.226881,0.049112, 0.113441,0.039680, 0.132982,1.055529
6,0.025815, 0.270200,0.156014, 0.164740,0.087771, 0.198369,0.080457, 0.230184,0.057402, 0.202650,0.080188, 0.135100,0.040477, 0.135100,0.024690, 0.110844,0.894372
7,0.023966, 0.337184,0.037295, 0.181572,0.056239, 0.234630,0.063636, 0.206951,0.000001, 0.211024,0.008097, 0.298637,0.044272, 0.147177,0.048585, 0.100734,1.435818
8,0.000001, 0.309269,0.081407, 0.191003,0.084282, 0.213665,0.000001, 0.260207,0.000001, 0.254799,0.017630, 0.172474,0.059117, 0.209686,0.041616, 0.104843,1.431893
9,0.119413, 0.173891,0.036881, 0.266598,0.073021, 0.173891,0.110292, 0.169415,0.052479, 0.170860,0.122669, 0.169415,0.031009, 0.073021,0.073326, 0.183821,0.761822
10,0.059437, 0.249952,0.122990, 0.281941,0.044116, 0.157709,0.061450, 0.139580,0.015806, 0.207803,0.122990, 0.127085,0.045653, 0.125037,0.080545, 0.157906,0.894026
11,0.112686, 0.140697,0.093045, 0.195155,0.126692, 0.179102,0.021392, 0.254250,0.051660, 0.165096,0.000001, 0.236588,0.063346, 0.131889,0.049299, 0.179102,0.963758
12,0.055169, 0.252497,0.086788, 0.185690,0.063066, 0.245805,0.081297, 0.195868,0.031776, 0.240752,0.000001, 0.215973,0.002688, 0.240156,0.000001, 0.102474,1.358428
13,0.097904, 0.215124,0.097904, 0.232479,0.072133, 0.210798,0.018793, 0.237070,0.084089, 0.166754,0.000001, 0.229005,0.017725, 0.156514,0.042045, 0.121663,1.138813
14,0.117842, 0.152831,0.000001, 0.329616,0.000001, 0.304318,0.000001, 0.259119,0.080940, 0.153040,0.067668, 0.079303,0.056976, 0.153772,0.047283, 0.197288,1.258575
15,0.077952, 0.206225,0.080358, 0.250442,0.082358, 0.200817,0.029914, 0.190138,0.000001, 0.254753,0.000001, 0.250905,0.054006, 0.119460,0.014595, 0.188076,1.321630
16,0.069932, 0.257400,0.130847, 0.246061,0.107069, 0.138992,0.051097, 0.191308,0.022283, 0.222744,0.024240, 0.109460,0.000001, 0.219343,0.071960, 0.137264,1.045143
17,0.089977, 0.176285,0.148785, 0.153757,0.045517, 0.208534,0.069600, 0.217932,0.017644, 0.234954,0.057996, 0.211432,0.045140, 0.154839,0.016334, 0.151271,1.018010
18,0.070069, 0.195858,0.034358, 0.227556,0.090167, 0.190661,0.090456, 0.137100,0.113778, 0.160422,0.036062, 0.243554,0.000001, 0.234111,0.038748, 0.137100,1.052724
19,0.071795, 0.148589,0.055770, 0.224730,0.013413, 0.361691,0.074294, 0.191560,0.076745, 0.167988,0.071521, 0.091429,0.067011, 0.081578,0.075505, 0.226380,0.987889
20,0.084655, 0.247429,0.054518, 0.218106,0.000001, 0.258601,0.115432, 0.207837,0.085938, 0.246515,0.062850, 0.161634,0.000001, 0.144289,0.018155, 0.094038,1.156900
21,0.060930, 0.227358,0.044607, 0.248564,0.064613, 0.245107,0.000001, 0.216246,0.000001, 0.241406,0.093057, 0.183593,0.038910, 0.107056,0.027186, 0.201366,1.341390
22,0.095661, 0.247270,0.117374, 0.171466,0.047115, 0.297767,0.036105, 0.114735,0.000001, 0.227679,0.048419, 0.207720,0.029372, 0.215330,0.000001, 0.143986,1.251904
23,0.085982, 0.222902,0.132389, 0.195353,0.066195, 0.160977,0.045048, 0.243227,0.030110, 0.233296,0.047994, 0.083939,0.085814, 0.168189,0.052487, 0.146096,0.907961
24,0.019418, 0.259244,0.060041, 0.166991,0.005325, 0.218061,0.072464, 0.258386,0.082488, 0.262199,0.000001, 0.237662,0.057148, 0.145374,0.000001, 0.155196,1.406228
25,0.096554, 0.223500,0.076799, 0.232078,0.027070, 0.205529,0.014044, 0.251155,0.020500, 0.208813,0.021179, 0.160027,0.053598, 0.158000,0.080396, 0.170758,1.219718
26,0.125923, 0.291695,0.043658, 0.191800,0.000001, 0.255459,0.079780, 0.277072,0.082265, 0.109536,0.026082, 0.178802,0.054768, 0.124849,0.056454, 0.101856,1.062139
27,0.089449, 0.271903,0.072815, 0.156603,0.059913, 0.190354,0.106882, 0.275543,0.072815, 0.134964,0.010142, 0.195062,0.000001, 0.209081,0.007632, 0.146838,1.160698
28,0.000001, 0.276722,0.053500, 0.298330,0.091704, 0.188554,0.000001, 0.323426,0.070892, 0.188996,0.055849, 0.093316,0.043566, 0.179160,0.046392, 0.089594,1.276193
