No.,tL,tR
true,0.769231,1.428571
0,0.702424,1.735024
1,0.721313,1.629620
2,0.759581,1.463092
3,0.794945,1.347614
4,0.791189,1.358548
5,0.831392,1.254392
6,0.711900,1.679800
7,0.710895,1.685423
8,0.868663,1.178124
9,0.796803,1.342311
10,0.803025,1.325016
11,0.693603,1.791299
12,0.746044,1.516075
13,0.769425,1.427904
14,0.711205,1.683680
15,0.767324,1.435192
16,0.774177,1.411825
17,0.773843,1.412930
18,0.872854,1.170505
19,0.757662,1.470264
20,0.699648,1.752203
21,0.727114,1.600768
22,0.799493,1.334748
23,0.683393,1.863197
24,0.728465,1.594258
25,0.783938,1.380474
26,0.729252,1.590510
27,0.760645,1.459151
28,0.847389,1.219656
29,0.686262,1.842194
30,0.814854,1.294021
31,0.848015,1.218364
32,0.772860,1.416222
33,0.739095,1.545605
34,0.782555,1.384786
35,0.812259,1.300620
36,0.741909,1.533448
37,0.701149,1.742868
38,0.776443,1.404350
39,0.846488,1.221526
40,0.738977,1.546126
41,0.755040,1.480242
42,0.796678,1.342662
43,0.745069,1.520120
44,0.704997,1.719531
45,0.769041,1.429231
46,0.739840,1.542360
47,0.706516,1.710563
48,0.807724,1.312412
49,0.682210,1.872042
50,0.708619,1.698358
51,0.740143,1.541046
52,0.786395,1.372917
53,0.734959,1.564010
54,0.797241,1.341070
55,0.778487,1.397708
56,0.801528,1.329110
57,0.857054,1.200176
58,0.766292,1.438822
59,0.826446,1.265826
60,0.814453,1.295033
61,0.656423,2.098226
62,0.746989,1.512187
63,0.854331,1.205553
64,0.723540,1.618369
65,0.783426,1.382063
66,0.690545,1.812021
67,0.747419,1.510433
68,0.727481,1.598992
69,0.769191,1.428706
70,0.749105,1.503594
71,0.762413,1.452699
72,0.783927,1.380506
73,0.809802,1.306966
74,0.715155,1.661955
75,0.762109,1.453799
76,0.764170,1.446360
77,0.756568,1.474400
78,0.757097,1.472396
79,0.795321,1.346538
80,0.792163,1.355688
81,0.747693,1.509313
82,0.692427,1.799192
83,0.721472,1.628816
84,0.721672,1.627790
85,0.743444,1.526934
86,0.780042,1.392727
87,0.765625,1.441180
88,0.716291,1.655857
89,0.872479,1.171182
90,0.726575,1.603384
91,0.746616,1.513720
92,0.754625,1.481833
93,0.739203,1.545132
94,0.765663,1.441041
95,0.776955,1.402672
96,0.814483,1.294954
97,0.716052,1.657133
98,0.783183,1.382822
99,0.785171,1.376663
100,0.708668,1.698078
101,0.751123,1.495531
102,0.706562,1.710293
103,0.789100,1.364754
104,0.663157,2.032268
105,0.801242,1.329899
106,0.824114,1.271333
107,0.702161,1.736642
108,0.802595,1.326186
109,0.744992,1.520443
110,0.744087,1.524230
111,0.773278,1.414819
112,0.754386,1.482762
113,0.771964,1.419239
114,0.818137,1.285826
115,0.750097,1.499612
116,0.785297,1.376281
117,0.741385,1.535688
118,0.796652,1.342734
119,0.781950,1.386680
120,0.689228,1.821165
121,0.754785,1.481223
122,0.757796,1.469756
123,0.740549,1.539290
124,0.753251,1.487168
125,0.691449,1.805833
126,0.799552,1.334584
127,0.704170,1.724468
128,0.851784,1.210664
129,0.727581,1.598506
130,0.752760,1.489081
131,0.723427,1.618930
132,0.720191,1.635379
133,0.814965,1.293740
134,0.795029,1.347373
135,0.728508,1.594055
136,0.818057,1.286020
137,0.739444,1.544087
138,0.763440,1.448983
139,0.839879,1.235556
140,0.713987,1.668293
141,0.745981,1.516342
142,0.685852,1.845158
143,0.747968,1.508196
144,0.740054,1.541433
145,0.772226,1.418353
146,0.807574,1.312813
147,0.776131,1.405369
148,0.809364,1.308111
149,0.815725,1.291826
150,0.742300,1.531783
151,0.783034,1.383290
152,0.782748,1.384183
153,0.752337,1.490737
154,0.766776,1.437114
155,0.754857,1.480942
156,0.839292,1.236828
157,0.748065,1.507804
158,0.840877,1.233400
159,0.800507,1.331932
160,0.846118,1.222298
161,0.733903,1.568822
162,0.785596,1.375363
163,0.791987,1.356204
164,0.783997,1.380293
165,0.756511,1.474617
166,0.716858,1.652824
167,0.755974,1.476662
168,0.738331,1.548964
169,0.685594,1.847026
170,0.772647,1.416938
171,0.844428,1.225843
172,0.725269,1.609788
173,0.759610,1.462983
174,0.723137,1.620388
175,0.752515,1.490040
176,0.758462,1.467261
177,0.791152,1.358657
178,0.790371,1.360968
179,0.738000,1.550421
180,0.829165,1.259500
181,0.688837,1.823892
182,0.764873,1.443847
183,0.775983,1.405857
184,0.721002,1.631207
185,0.717516,1.649343
186,0.860495,1.193493
187,0.703915,1.726004
188,0.740413,1.539878
189,0.821968,1.276476
190,0.706429,1.711072
191,0.773417,1.414355
192,0.731189,1.581370
193,0.667501,1.992528
194,0.714267,1.666769
195,0.750147,1.499410
196,0.816761,1.289240
197,0.772373,1.417861
