ó^Ç¶ÇΩèdóvìx,0.110000,0.210000,0.100000,0.200000,0.090000,0.190000,0.080000,0.180000,0.070000,0.170000,0.060000,0.160000,0.050000,0.150000,0.040000,0.140000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],wL[6],wR[6],wL[7],wR[7],ãÊä‘ïùÇÃëçòa
1,0.044538, 0.244960,0.032012, 0.218748,0.061463, 0.250760,0.030731, 0.235607,0.022269, 0.200422,0.020488, 0.220242,0.018970, 0.202347,0.015366, 0.181077,1.508326
2,0.038531, 0.247800,0.019266, 0.216246,0.030102, 0.235803,0.038531, 0.260085,0.028898, 0.181832,0.019266, 0.215278,0.013961, 0.201978,0.019266, 0.233157,1.584359
3,0.040717, 0.237514,0.040717, 0.213763,0.042413, 0.197928,0.040717, 0.239056,0.024627, 0.223227,0.014138, 0.188807,0.023134, 0.223227,0.026787, 0.223227,1.493501
4,0.071266, 0.243493,0.036862, 0.199054,0.034117, 0.213040,0.034117, 0.213040,0.023755, 0.196411,0.037118, 0.219013,0.034117, 0.216942,0.014847, 0.212809,1.427603
5,0.033405, 0.227157,0.023932, 0.175503,0.025452, 0.190040,0.041114, 0.222703,0.041114, 0.246686,0.066811, 0.261676,0.020557, 0.216340,0.011966, 0.195544,1.471296
6,0.040332, 0.201658,0.069908, 0.267981,0.034954, 0.216163,0.034954, 0.200346,0.034954, 0.205979,0.034954, 0.218463,0.023303, 0.198215,0.013444, 0.204392,1.426395
7,0.041727, 0.236454,0.023844, 0.229499,0.017883, 0.208079,0.030600, 0.251541,0.017486, 0.211139,0.020400, 0.214199,0.013909, 0.229499,0.015300, 0.238441,1.637703
8,0.030971, 0.211638,0.016677, 0.232510,0.030971, 0.239036,0.030971, 0.248682,0.016677, 0.221962,0.012753, 0.227290,0.020648, 0.226962,0.010162, 0.222088,1.660338
9,0.081787, 0.231730,0.081787, 0.218099,0.040894, 0.160653,0.081787, 0.231730,0.027262, 0.134650,0.081787, 0.231730,0.027262, 0.167292,0.040894, 0.160653,1.073078
10,0.042539, 0.225208,0.060055, 0.249563,0.030028, 0.215630,0.014180, 0.206440,0.015014, 0.190414,0.042539, 0.251690,0.010635, 0.200407,0.030028, 0.215630,1.509965
11,0.054979, 0.257716,0.030926, 0.229081,0.054979, 0.257716,0.027490, 0.175934,0.030926, 0.208922,0.027490, 0.197926,0.027490, 0.208922,0.018326, 0.191178,1.454788
12,0.024248, 0.224293,0.060620, 0.267737,0.030310, 0.220925,0.030310, 0.220925,0.030310, 0.220925,0.025524, 0.212701,0.017016, 0.203903,0.015155, 0.195098,1.533015
13,0.046624, 0.262905,0.046624, 0.256430,0.027197, 0.229150,0.018829, 0.182609,0.037658, 0.238498,0.012553, 0.202205,0.012553, 0.198465,0.018829, 0.208874,1.558271
14,0.053745, 0.256967,0.028552, 0.228415,0.026872, 0.212100,0.026872, 0.195785,0.026872, 0.228415,0.026872, 0.243643,0.013436, 0.203036,0.014276, 0.214139,1.565003
15,0.035379, 0.228018,0.023586, 0.220385,0.024510, 0.248867,0.021787, 0.246965,0.019655, 0.183449,0.016340, 0.209167,0.019655, 0.253269,0.013104, 0.235863,1.651968
16,0.036061, 0.216365,0.060582, 0.252425,0.039857, 0.252425,0.025243, 0.201940,0.024041, 0.201940,0.020194, 0.227183,0.018030, 0.189319,0.018030, 0.216365,1.515925
17,0.030941, 0.234679,0.054305, 0.280188,0.029484, 0.237812,0.027152, 0.227023,0.016425, 0.180680,0.015470, 0.205151,0.018102, 0.224201,0.010950, 0.207438,1.594341
18,0.032337, 0.211873,0.036648, 0.183241,0.058899, 0.264083,0.058899, 0.264083,0.058899, 0.255229,0.019633, 0.149925,0.019633, 0.162286,0.024432, 0.199900,1.381240
19,0.033912, 0.204977,0.041737, 0.222600,0.067823, 0.203470,0.033912, 0.204977,0.033912, 0.204977,0.033912, 0.226078,0.033912, 0.226078,0.027825, 0.199900,1.386112
20,0.028049, 0.210370,0.035062, 0.219987,0.035062, 0.183924,0.056099, 0.257119,0.045214, 0.244909,0.035062, 0.219987,0.017531, 0.190736,0.014025, 0.206864,1.467794
21,0.021597, 0.215974,0.026740, 0.212457,0.018471, 0.214474,0.023794, 0.206213,0.033425, 0.222830,0.033425, 0.260712,0.015863, 0.243928,0.022283, 0.227815,1.608806
22,0.086447, 0.261741,0.065864, 0.249735,0.086447, 0.261741,0.021612, 0.197093,0.028816, 0.170667,0.015368, 0.152553,0.028816, 0.174410,0.021955, 0.176735,1.289353
23,0.046222, 0.241774,0.058385, 0.257867,0.036977, 0.215700,0.039618, 0.184886,0.019462, 0.153320,0.023111, 0.221863,0.036977, 0.218944,0.029193, 0.215700,1.420111
24,0.034869, 0.247382,0.018951, 0.254253,0.017435, 0.217931,0.034869, 0.254253,0.018161, 0.202139,0.017435, 0.191780,0.018951, 0.233225,0.010058, 0.228309,1.658545
25,0.033599, 0.246395,0.026626, 0.224841,0.021822, 0.190396,0.026626, 0.209062,0.019398, 0.215798,0.026626, 0.240665,0.020906, 0.224504,0.032072, 0.240665,1.584650
26,0.077937, 0.233812,0.051368, 0.216601,0.051368, 0.182641,0.025684, 0.168522,0.051368, 0.248278,0.034245, 0.194235,0.025684, 0.206287,0.025684, 0.206287,1.313324
27,0.043998, 0.212659,0.037959, 0.231091,0.037959, 0.241991,0.039242, 0.233925,0.037959, 0.248318,0.021999, 0.215103,0.014666, 0.181493,0.012653, 0.188984,1.507126
28,0.038219, 0.191093,0.059451, 0.234089,0.031474, 0.215074,0.041159, 0.219512,0.029726, 0.220319,0.029726, 0.220319,0.014863, 0.196189,0.020983, 0.237805,1.468801
29,0.064713, 0.223462,0.032357, 0.177961,0.034379, 0.165018,0.032357, 0.201689,0.034379, 0.201689,0.064713, 0.257841,0.064713, 0.257841,0.016178, 0.170709,1.312423
30,0.065308, 0.273383,0.032654, 0.210075,0.034173, 0.229835,0.038417, 0.225697,0.017086, 0.199598,0.018839, 0.199843,0.016327, 0.215275,0.013062, 0.210429,1.528269
31,0.031349, 0.226910,0.062699, 0.250795,0.035828, 0.226910,0.041799, 0.243829,0.020900, 0.191082,0.020900, 0.207977,0.020900, 0.218083,0.011943, 0.188097,1.507366
32,0.075878, 0.227635,0.056909, 0.238764,0.056909, 0.238764,0.056909, 0.223842,0.060703, 0.197846,0.020234, 0.158261,0.018970, 0.169101,0.022764, 0.176512,1.261449
33,0.058820, 0.237877,0.058820, 0.248449,0.063434, 0.209684,0.029410, 0.176461,0.029410, 0.176461,0.058820, 0.248449,0.019607, 0.177817,0.015858, 0.190622,1.331639
34,0.035709, 0.226154,0.035709, 0.234090,0.071417, 0.282693,0.035709, 0.226154,0.012564, 0.184436,0.018846, 0.213590,0.011903, 0.196000,0.012564, 0.202462,1.531160
35,0.065037, 0.279117,0.041273, 0.213246,0.035770, 0.202698,0.032518, 0.227892,0.019630, 0.205348,0.023847, 0.215931,0.018502, 0.209688,0.012335, 0.197168,1.502175
36,0.038554, 0.216868,0.049069, 0.241257,0.055837, 0.217145,0.028409, 0.201088,0.049069, 0.264883,0.016356, 0.199712,0.012267, 0.190825,0.024535, 0.194125,1.451806
37,0.057363, 0.261568,0.057925, 0.228597,0.057363, 0.231700,0.015386, 0.189765,0.028681, 0.207887,0.028681, 0.213357,0.014341, 0.186429,0.014481, 0.206475,1.451557
38,0.036696, 0.230525,0.039519, 0.224473,0.064218, 0.251519,0.064218, 0.250755,0.014891, 0.205497,0.016054, 0.202383,0.010703, 0.173561,0.021406, 0.193584,1.464592
39,0.069542, 0.243396,0.054901, 0.252546,0.027451, 0.169508,0.027451, 0.208625,0.027451, 0.208625,0.027451, 0.208625,0.027451, 0.208625,0.021961, 0.216393,1.432686
40,0.042655, 0.223695,0.056125, 0.210470,0.042655, 0.201966,0.030468, 0.220893,0.023437, 0.208003,0.042655, 0.218123,0.021328, 0.206167,0.030468, 0.220893,1.420417
41,0.060367, 0.236439,0.024147, 0.226981,0.030184, 0.233957,0.030184, 0.233957,0.021464, 0.184395,0.030184, 0.233957,0.020122, 0.217323,0.012878, 0.203460,1.540940
42,0.044587, 0.230364,0.044587, 0.261079,0.022293, 0.198745,0.023036, 0.226322,0.023036, 0.226322,0.027102, 0.239398,0.013551, 0.190806,0.014862, 0.213909,1.573892
43,0.029119, 0.198012,0.029119, 0.229836,0.058239, 0.271782,0.029119, 0.194476,0.029119, 0.247515,0.029119, 0.194476,0.029119, 0.194476,0.014560, 0.221910,1.504969
