ó^Ç¶ÇΩèdóvìx,0.120000,0.200000,0.100000,0.200000,0.080000,0.200000,0.060000,0.200000,0.050000,0.190000,0.050000,0.170000,0.050000,0.150000,0.050000,0.130000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],wL[6],wR[6],wL[7],wR[7],ãÊä‘ïùÇÃëçòa
1,0.158601, 0.209248,0.171533, 0.222872,0.079301, 0.136753,0.052556, 0.198585,0.047347, 0.185654,0.057178, 0.188932,0.023909, 0.106922,0.028589, 0.132021,0.761974
2,0.127465, 0.180850,0.127465, 0.194280,0.063732, 0.166681,0.074353, 0.167743,0.082166, 0.182272,0.035543, 0.157637,0.063732, 0.167743,0.045362, 0.162976,0.760363
3,0.089397, 0.195969,0.077133, 0.204529,0.154266, 0.218972,0.078559, 0.152341,0.051331, 0.182587,0.051331, 0.114835,0.051331, 0.182587,0.050502, 0.144329,0.792299
4,0.148833, 0.197642,0.164309, 0.228435,0.103801, 0.177404,0.057151, 0.153027,0.052958, 0.153027,0.028511, 0.176809,0.062032, 0.121569,0.062032, 0.112460,0.640748
5,0.122740, 0.196741,0.166756, 0.249137,0.032080, 0.114727,0.072375, 0.157929,0.049701, 0.096173,0.113136, 0.189081,0.049701, 0.185843,0.051213, 0.152666,0.684596
6,0.163688, 0.225334,0.094990, 0.154117,0.087526, 0.151080,0.068229, 0.207744,0.043060, 0.204687,0.041195, 0.188688,0.047495, 0.160898,0.049098, 0.112170,0.809436
7,0.186489, 0.231361,0.068445, 0.182284,0.081274, 0.130879,0.035114, 0.155272,0.065368, 0.120336,0.136889, 0.213572,0.036206, 0.155272,0.066330, 0.134911,0.647773
8,0.180137, 0.222140,0.089060, 0.162782,0.100281, 0.204162,0.060046, 0.136026,0.127068, 0.200226,0.038534, 0.124343,0.049738, 0.122726,0.037280, 0.145451,0.635712
9,0.117139, 0.168726,0.151085, 0.264519,0.064522, 0.202112,0.056954, 0.175541,0.079436, 0.165889,0.056954, 0.132482,0.044219, 0.115992,0.033486, 0.170945,0.792410
10,0.131796, 0.187005,0.131796, 0.184177,0.087841, 0.171975,0.088654, 0.196515,0.036521, 0.128245,0.053005, 0.169906,0.046908, 0.187978,0.033068, 0.164609,0.780821
11,0.174484, 0.227368,0.087242, 0.144133,0.045357, 0.140684,0.062194, 0.155687,0.035491, 0.201702,0.070982, 0.218279,0.065273, 0.142797,0.024373, 0.203955,0.869211
12,0.142211, 0.193681,0.142211, 0.196132,0.051948, 0.185250,0.055639, 0.176586,0.049855, 0.176586,0.048972, 0.173877,0.051879, 0.139611,0.071105, 0.144456,0.772360
13,0.164524, 0.216607,0.100327, 0.209979,0.058228, 0.200238,0.054841, 0.139405,0.046339, 0.137961,0.054092, 0.215653,0.043308, 0.156874,0.046339, 0.155285,0.864005
14,0.184689, 0.243513,0.072916, 0.213856,0.049769, 0.214350,0.064258, 0.150579,0.037110, 0.160983,0.059063, 0.150675,0.061563, 0.166016,0.051663, 0.118997,0.837937
15,0.096754, 0.205414,0.132137, 0.195083,0.084850, 0.173803,0.047054, 0.194501,0.068471, 0.166676,0.066068, 0.173803,0.034679, 0.141508,0.078271, 0.140927,0.783431
16,0.076323, 0.174576,0.059437, 0.250026,0.127590, 0.184771,0.083342, 0.165804,0.118874, 0.183604,0.044303, 0.160098,0.037134, 0.118222,0.047081, 0.168814,0.811830
17,0.148048, 0.209854,0.061572, 0.191317,0.074647, 0.185685,0.046386, 0.147291,0.078199, 0.200363,0.044201, 0.177950,0.057336, 0.185753,0.046640, 0.144758,0.885942
18,0.152186, 0.193852,0.120925, 0.179964,0.035361, 0.170713,0.056904, 0.147263,0.079999, 0.172268,0.145241, 0.186908,0.050729, 0.096290,0.062199, 0.149199,0.592913
19,0.121244, 0.222931,0.110385, 0.193516,0.089689, 0.160862,0.057051, 0.220771,0.050288, 0.150212,0.038034, 0.100687,0.072725, 0.153982,0.094894, 0.162728,0.731380
20,0.152525, 0.233650,0.094347, 0.198234,0.056199, 0.188658,0.030105, 0.209752,0.047996, 0.147026,0.061469, 0.193252,0.077876, 0.158353,0.033235, 0.117322,0.892496
21,0.135070, 0.214634,0.085309, 0.181671,0.097309, 0.212284,0.057331, 0.194617,0.046916, 0.159952,0.051441, 0.139286,0.054679, 0.158869,0.040636, 0.169997,0.862618
22,0.161870, 0.234727,0.085565, 0.188078,0.049226, 0.196908,0.045951, 0.136786,0.040468, 0.198907,0.062409, 0.142890,0.044226, 0.196908,0.074476, 0.140605,0.871617
23,0.105209, 0.243348,0.109241, 0.160316,0.109241, 0.186345,0.047495, 0.149811,0.057910, 0.228800,0.052604, 0.114341,0.060669, 0.152396,0.069050, 0.153223,0.777161
24,0.246106, 0.293900,0.061527, 0.171499,0.134082, 0.178153,0.036672, 0.151143,0.046202, 0.164638,0.049502, 0.124320,0.034723, 0.104910,0.049014, 0.153609,0.684343
25,0.171786, 0.219483,0.164323, 0.212830,0.077518, 0.135498,0.060551, 0.182610,0.035527, 0.192619,0.038759, 0.102248,0.042946, 0.127032,0.047693, 0.188577,0.721793
26,0.213009, 0.258463,0.064153, 0.230296,0.117868, 0.188636,0.041828, 0.139208,0.031790, 0.135031,0.053252, 0.150136,0.050379, 0.121012,0.054411, 0.150528,0.746621
27,0.136757, 0.207911,0.078509, 0.170328,0.043429, 0.178965,0.078336, 0.203150,0.043719, 0.179861,0.048459, 0.181629,0.061927, 0.200381,0.052905, 0.133734,0.911916
28,0.150353, 0.212853,0.066937, 0.206953,0.052270, 0.197903,0.056164, 0.195225,0.038947, 0.177207,0.065968, 0.195492,0.053323, 0.135865,0.053069, 0.141473,0.925939
29,0.078919, 0.169743,0.075824, 0.163791,0.139981, 0.184425,0.139981, 0.187203,0.069990, 0.165537,0.049438, 0.167420,0.067490, 0.169683,0.049637, 0.120937,0.657479
30,0.087520, 0.194850,0.109127, 0.191919,0.140952, 0.200972,0.063452, 0.194926,0.050952, 0.157966,0.039723, 0.149789,0.052294, 0.178090,0.030857, 0.156612,0.850248
31,0.083958, 0.142129,0.167916, 0.225786,0.065502, 0.139973,0.053977, 0.198404,0.041979, 0.148753,0.083958, 0.175487,0.029609, 0.199321,0.041772, 0.201475,0.862657
32,0.134866, 0.180438,0.134866, 0.180438,0.067433, 0.166810,0.134866, 0.179136,0.058174, 0.161100,0.035018, 0.140772,0.044955, 0.161854,0.058174, 0.161100,0.663300
33,0.181222, 0.222294,0.086705, 0.154897,0.090611, 0.194894,0.086705, 0.127553,0.057332, 0.121564,0.128855, 0.202056,0.048152, 0.145159,0.032982, 0.119020,0.574873
34,0.097180, 0.181597,0.142778, 0.208776,0.084712, 0.217616,0.048926, 0.161160,0.045683, 0.148173,0.071389, 0.186383,0.039276, 0.175797,0.050500, 0.140054,0.839113
35,0.148072, 0.239972,0.105610, 0.192343,0.073580, 0.153628,0.045605, 0.215901,0.035203, 0.178314,0.048975, 0.136152,0.070300, 0.153628,0.051579, 0.151135,0.842147
