ó^Ç¶ÇΩèdóvìx,0.120000,0.200000,0.100000,0.200000,0.080000,0.200000,0.060000,0.200000,0.050000,0.190000,0.050000,0.170000,0.050000,0.150000,0.050000,0.130000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],wL[6],wR[6],wL[7],wR[7],ãÊä‘ïùÇÃëçòa
1,0.137256, 0.182189,0.180202, 0.243204,0.082685, 0.157719,0.060477, 0.214392,0.059591, 0.142216,0.070599, 0.171523,0.037372, 0.088351,0.042662, 0.129562,0.658313
2,0.120447, 0.134975,0.107730, 0.177006,0.059506, 0.224285,0.075123, 0.163191,0.088503, 0.219061,0.049450, 0.153764,0.081595, 0.166028,0.051255, 0.128081,0.732781
3,0.104519, 0.205331,0.081550, 0.209038,0.157864, 0.217346,0.099582, 0.131056,0.065401, 0.163670,0.064120, 0.064195,0.064120, 0.165968,0.054337, 0.151903,0.617015
4,0.121454, 0.252532,0.149308, 0.238535,0.116429, 0.123398,0.079512, 0.174063,0.084177, 0.157014,0.042475, 0.151614,0.057499, 0.128411,0.061699, 0.061878,0.574893
5,0.124230, 0.203736,0.132625, 0.275660,0.039519, 0.148358,0.061508, 0.124230,0.053217, 0.089083,0.135132, 0.190715,0.054964, 0.133038,0.074179, 0.159806,0.649254
6,0.174210, 0.242868,0.101126, 0.138857,0.068672, 0.104420,0.071357, 0.219023,0.051630, 0.214071,0.058783, 0.178187,0.058999, 0.192229,0.052210, 0.073356,0.726023
7,0.179262, 0.243518,0.071631, 0.166834,0.072360, 0.146032,0.042505, 0.153399,0.071921, 0.155427,0.120959, 0.198357,0.051809, 0.158705,0.066119, 0.101160,0.646867
8,0.137466, 0.286458,0.109947, 0.141953,0.115563, 0.227863,0.070288, 0.154138,0.099404, 0.231750,0.043426, 0.068733,0.056966, 0.101066,0.045964, 0.109015,0.641952
9,0.109882, 0.186914,0.113535, 0.318605,0.092906, 0.224470,0.067483, 0.172920,0.099083, 0.134967,0.068300, 0.103166,0.051583, 0.099976,0.042676, 0.113535,0.709103
10,0.127613, 0.132270,0.123091, 0.204131,0.097810, 0.156519,0.096944, 0.219544,0.044981, 0.141485,0.064872, 0.139640,0.046374, 0.202676,0.047162, 0.154888,0.702307
11,0.108531, 0.273942,0.095444, 0.170857,0.057181, 0.115271,0.069979, 0.174160,0.050647, 0.209936,0.085951, 0.247399,0.072365, 0.117700,0.033633, 0.117005,0.852539
12,0.118252, 0.197953,0.129591, 0.197531,0.072088, 0.250934,0.081471, 0.118252,0.057863, 0.154105,0.055975, 0.129591,0.063937, 0.154030,0.076570, 0.141857,0.688507
13,0.142527, 0.261119,0.102827, 0.159428,0.070074, 0.181243,0.053143, 0.091231,0.058501, 0.140148,0.072076, 0.217763,0.057421, 0.155116,0.056393, 0.180991,0.774078
14,0.193856, 0.207373,0.088350, 0.196169,0.063414, 0.216173,0.074614, 0.127160,0.053065, 0.202350,0.065390, 0.133728,0.062389, 0.150565,0.059274, 0.106130,0.679296
15,0.086047, 0.259450,0.133743, 0.173750,0.084252, 0.147491,0.057739, 0.184647,0.086483, 0.217402,0.070644, 0.140518,0.041241, 0.130983,0.086655, 0.098955,0.706391
16,0.094898, 0.219933,0.058105, 0.264628,0.112989, 0.203096,0.080867, 0.210474,0.108193, 0.148010,0.057222, 0.132236,0.054983, 0.092783,0.048021, 0.113563,0.769443
17,0.167135, 0.171412,0.071574, 0.185305,0.071313, 0.246875,0.055657, 0.143149,0.072752, 0.213776,0.061719, 0.184714,0.063790, 0.162123,0.049830, 0.078876,0.772460
18,0.141442, 0.229777,0.107667, 0.141442,0.049286, 0.211080,0.063702, 0.149824,0.087381, 0.125445,0.125445, 0.191407,0.056519, 0.111676,0.074912, 0.132994,0.587291
19,0.135690, 0.274951,0.094580, 0.217996,0.108998, 0.153381,0.064003, 0.198459,0.066486, 0.147054,0.046034, 0.050776,0.064370, 0.137061,0.101551, 0.138609,0.636575
20,0.138350, 0.250521,0.100244, 0.138350,0.066488, 0.188775,0.048039, 0.214119,0.061066, 0.161654,0.062832, 0.191135,0.089081, 0.139286,0.046713, 0.103348,0.774376
21,0.136281, 0.185682,0.084477, 0.144599,0.087987, 0.275652,0.066340, 0.175973,0.053950, 0.177995,0.057036, 0.116458,0.059249, 0.151370,0.059332, 0.167620,0.790700
22,0.122290, 0.226596,0.071768, 0.240654,0.080091, 0.207392,0.071365, 0.162518,0.045387, 0.144715,0.062331, 0.165261,0.054259, 0.124661,0.106345, 0.114368,0.772329
23,0.109639, 0.199934,0.091988, 0.157543,0.099967, 0.235535,0.061095, 0.166653,0.082479, 0.259555,0.049786, 0.086969,0.075678, 0.143350,0.080257, 0.099573,0.698222
24,0.209451, 0.241261,0.071750, 0.158673,0.120238, 0.214660,0.049130, 0.163252,0.068188, 0.183654,0.066394, 0.136377,0.049012, 0.103524,0.052891, 0.111546,0.625891
25,0.172032, 0.201200,0.173619, 0.183838,0.072165, 0.209112,0.061720, 0.144329,0.059940, 0.197328,0.036082, 0.060565,0.043179, 0.121468,0.059960, 0.203461,0.642604
26,0.177137, 0.227849,0.088019, 0.216759,0.113924, 0.245217,0.055745, 0.204051,0.037398, 0.115200,0.047760, 0.127604,0.050583, 0.119967,0.057600, 0.115185,0.743666
27,0.112085, 0.192284,0.096142, 0.204117,0.050839, 0.159060,0.084621, 0.241897,0.053576, 0.157498,0.048087, 0.115124,0.079530, 0.240814,0.050559, 0.113766,0.849121
28,0.120816, 0.197320,0.072918, 0.234886,0.071319, 0.284813,0.062225, 0.131523,0.050324, 0.145973,0.094938, 0.165358,0.041143, 0.106898,0.057618, 0.161926,0.857397
29,0.102536, 0.196966,0.073993, 0.222312,0.105623, 0.222675,0.104614, 0.178586,0.083587, 0.168843,0.068893, 0.124338,0.056700, 0.115924,0.065655, 0.108754,0.676797
30,0.108443, 0.171692,0.079802, 0.261952,0.115148, 0.211523,0.082493, 0.241093,0.061298, 0.179473,0.039972, 0.090652,0.048713, 0.118527,0.044868, 0.144351,0.838525
31,0.082411, 0.157297,0.151761, 0.247564,0.085302, 0.133033,0.062061, 0.176862,0.047083, 0.157524,0.079573, 0.170604,0.046023, 0.151761,0.052508, 0.198632,0.786556
32,0.133501, 0.234882,0.115243, 0.133556,0.063782, 0.161478,0.112863, 0.230089,0.063536, 0.144761,0.054640, 0.144736,0.053826, 0.171732,0.063570, 0.117805,0.678077
33,0.208680, 0.211872,0.086340, 0.153155,0.090698, 0.172679,0.085245, 0.128896,0.065372, 0.141281,0.108310, 0.218233,0.064229, 0.111031,0.047094, 0.106883,0.488063
34,0.107579, 0.164005,0.148746, 0.189768,0.091336, 0.238555,0.051106, 0.163330,0.058104, 0.113892,0.073825, 0.181652,0.054443, 0.167560,0.060551, 0.135549,0.708621
35,0.146119, 0.224921,0.130967, 0.181272,0.074767, 0.157168,0.053131, 0.233968,0.044391, 0.165562,0.058492, 0.093347,0.073885, 0.143390,0.056230, 0.162389,0.724034
36,0.094936, 0.187082,0.090832, 0.118533,0.086171, 0.189872,0.078815, 0.190197,0.108013, 0.268768,0.057757, 0.167851,0.092231, 0.114167,0.046763, 0.108013,0.688964
37,0.147503, 0.205408,0.095232, 0.164100,0.074695, 0.173338,0.068469, 0.117181,0.047882, 0.096070,0.075336, 0.150424,0.164100, 0.178568,0.085279, 0.156414,0.483006
38,0.164640, 0.205557,0.098576, 0.125972,0.087746, 0.101700,0.100414, 0.164773,0.058453, 0.200186,0.100093, 0.224047,0.041991, 0.142910,0.049179, 0.133762,0.597814
39,0.112793, 0.251697,0.105056, 0.201361,0.118868, 0.212247,0.055950, 0.124946,0.078273, 0.178562,0.058151, 0.070338,0.100680, 0.150251,0.061724, 0.119102,0.617008
40,0.109679, 0.226116,0.110905, 0.194242,0.066617, 0.255697,0.049574, 0.141336,0.064819, 0.093991,0.081683, 0.148723,0.075372, 0.205796,0.042033, 0.133418,0.798636
41,0.117865, 0.306277,0.083118, 0.176605,0.075871, 0.183560,0.088293, 0.152067,0.049750, 0.168419,0.053030, 0.166237,0.053825, 0.123426,0.081979, 0.119679,0.792539
42,0.081348, 0.306946,0.110548, 0.190092,0.078718, 0.173961,0.074873, 0.110548,0.089150, 0.204465,0.076736, 0.207314,0.050039, 0.089150,0.072797, 0.083315,0.731583
43,0.125725, 0.196874,0.084672, 0.225794,0.098437, 0.187315,0.050088, 0.161984,0.072340, 0.100177,0.094329, 0.251119,0.041735, 0.087751,0.081468, 0.140192,0.702412
44,0.160315, 0.168902,0.124383, 0.225160,0.089653, 0.213850,0.058339, 0.127113,0.053072, 0.089653,0.072783, 0.131477,0.059160, 0.192687,0.055972, 0.177480,0.652646
45,0.071952, 0.284926,0.080158, 0.171912,0.073531, 0.124416,0.144813, 0.162284,0.061990, 0.080158,0.092680, 0.193646,0.091994, 0.149443,0.069034, 0.147062,0.627696
46,0.138697, 0.155638,0.093173, 0.236554,0.080068, 0.180271,0.045748, 0.186347,0.110058, 0.153714,0.052644, 0.202108,0.038429, 0.078396,0.067239, 0.180916,0.747889
47,0.094183, 0.232018,0.110848, 0.249252,0.094200, 0.193208,0.058317, 0.203563,0.045374, 0.110848,0.066687, 0.161608,0.053869, 0.149111,0.047177, 0.129737,0.858692
48,0.146730, 0.176017,0.150350, 0.180157,0.154645, 0.156927,0.056858, 0.187947,0.039579, 0.151540,0.037885, 0.175678,0.058450, 0.154882,0.057916, 0.114440,0.595173
49,0.110520, 0.163409,0.087207, 0.221039,0.061233, 0.274394,0.086844, 0.181249,0.048615, 0.095124,0.075822, 0.187455,0.089274, 0.152976,0.041712, 0.123128,0.797547
50,0.088520, 0.224702,0.139991, 0.181385,0.111814, 0.242057,0.058542, 0.178790,0.058935, 0.149543,0.107823, 0.147951,0.047833, 0.088628,0.059597, 0.113888,0.653889
51,0.160403, 0.164450,0.085384, 0.160830,0.119365, 0.238716,0.055670, 0.133439,0.068610, 0.173206,0.061480, 0.207579,0.062792, 0.119365,0.049659, 0.139051,0.673271
52,0.134176, 0.181289,0.101956, 0.265064,0.059430, 0.154144,0.060430, 0.227169,0.054509, 0.125674,0.073655, 0.157022,0.051477, 0.109854,0.058295, 0.185858,0.812149
53,0.067115, 0.263685,0.130521, 0.237093,0.114125, 0.161337,0.061113, 0.143659,0.079327, 0.198405,0.052565, 0.075909,0.047690, 0.152376,0.044181, 0.170899,0.806728
