ó^Ç¶ÇΩèdóvìx,0.120000,0.200000,0.100000,0.200000,0.080000,0.200000,0.060000,0.200000,0.050000,0.190000,0.050000,0.170000,0.050000,0.150000,0.050000,0.130000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],wL[6],wR[6],wL[7],wR[7],ãÊä‘ïùÇÃëçòa
1,0.108909, 0.210536,0.166073, 0.257332,0.061613, 0.178791,0.030254, 0.244614,0.053217, 0.148590,0.063331, 0.178791,0.022316, 0.103408,0.031570, 0.140654,0.925431
2,0.087838, 0.167584,0.029313, 0.255423,0.000001, 0.283789,0.008200, 0.230115,0.077449, 0.230115,0.000001, 0.203213,0.067897, 0.179727,0.044089, 0.135247,1.370425
3,0.103812, 0.206039,0.076823, 0.213765,0.118581, 0.256630,0.079789, 0.150849,0.063142, 0.165930,0.063854, 0.064461,0.063854, 0.166233,0.052320, 0.153919,0.755652
4,0.111188, 0.262798,0.134268, 0.253575,0.116249, 0.123578,0.077500, 0.176075,0.083469, 0.157722,0.038745, 0.155344,0.028189, 0.157722,0.061072, 0.062506,0.698639
5,0.111443, 0.216524,0.120507, 0.287777,0.000001, 0.187876,0.042662, 0.143076,0.000001, 0.142299,0.111443, 0.214405,0.002602, 0.185400,0.058364, 0.175621,1.105956
6,0.144155, 0.272923,0.086762, 0.153222,0.047527, 0.125566,0.066446, 0.223935,0.000001, 0.265700,0.028431, 0.208539,0.048205, 0.203023,0.043381, 0.082185,1.070185
7,0.121678, 0.301103,0.037730, 0.200735,0.000001, 0.218391,0.000001, 0.195904,0.000001, 0.227347,0.074361, 0.244954,0.042327, 0.168188,0.056371, 0.110908,1.335060
8,0.121714, 0.302210,0.097995, 0.153905,0.072515, 0.270911,0.025167, 0.199259,0.036067, 0.295087,0.014672, 0.097487,0.053820, 0.104211,0.010720, 0.144260,1.134659
9,0.094718, 0.202078,0.105691, 0.326448,0.079416, 0.237960,0.062916, 0.177487,0.085528, 0.148521,0.044033, 0.127433,0.046073, 0.105486,0.000001, 0.156210,0.963247
10,0.122147, 0.137737,0.060118, 0.267104,0.019828, 0.234501,0.067712, 0.248776,0.000001, 0.186464,0.056961, 0.147551,0.005899, 0.243151,0.039897, 0.162153,1.254875
11,0.044774, 0.337699,0.023330, 0.242970,0.041431, 0.131020,0.059864, 0.184275,0.000001, 0.260582,0.048254, 0.285096,0.017612, 0.172452,0.000001, 0.150638,1.529464
12,0.103156, 0.213049,0.123710, 0.203412,0.033320, 0.289702,0.073241, 0.126482,0.014180, 0.197789,0.039948, 0.145618,0.016476, 0.201491,0.070234, 0.148193,1.051470
13,0.035553, 0.368093,0.080778, 0.181478,0.053313, 0.198004,0.044849, 0.099524,0.007716, 0.190932,0.034425, 0.255415,0.035676, 0.176861,0.000001, 0.237383,1.415378
14,0.182920, 0.218309,0.065397, 0.219123,0.051246, 0.228341,0.065856, 0.135917,0.049516, 0.205899,0.060973, 0.138144,0.014391, 0.198563,0.025738, 0.139667,0.967925
15,0.039607, 0.305890,0.118358, 0.189136,0.046133, 0.185609,0.000001, 0.242385,0.074768, 0.229117,0.046662, 0.164501,0.000001, 0.172223,0.082852, 0.102758,1.183235
16,0.019299, 0.295532,0.000001, 0.322732,0.081453, 0.234632,0.033808, 0.257532,0.015808, 0.240394,0.000001, 0.189457,0.046516, 0.101250,0.032505, 0.129080,1.541218
17,0.152164, 0.186382,0.068339, 0.188541,0.000001, 0.318187,0.045378, 0.153428,0.032618, 0.253910,0.052766, 0.193666,0.011667, 0.214246,0.035164, 0.093542,1.203805
18,0.124554, 0.246665,0.063499, 0.185609,0.000001, 0.260365,0.015389, 0.198138,0.054400, 0.158426,0.110837, 0.206015,0.034776, 0.133419,0.063369, 0.144537,1.066350
19,0.113944, 0.296697,0.060011, 0.252565,0.090673, 0.171707,0.000001, 0.262462,0.060040, 0.153500,0.036770, 0.060040,0.048368, 0.153063,0.096810, 0.143351,0.986769
20,0.119297, 0.269574,0.050777, 0.187817,0.041912, 0.213351,0.023564, 0.238594,0.050264, 0.172456,0.042599, 0.211368,0.041527, 0.186840,0.040461, 0.109600,1.179197
21,0.107864, 0.214099,0.068095, 0.160981,0.078904, 0.284735,0.000001, 0.242312,0.017411, 0.214534,0.021560, 0.151933,0.041611, 0.169009,0.051993, 0.174959,1.225122
22,0.108531, 0.240356,0.063842, 0.248581,0.066770, 0.220712,0.013171, 0.220712,0.000001, 0.190100,0.054265, 0.173326,0.031779, 0.147142,0.079933, 0.140779,1.163417
23,0.017534, 0.292038,0.069064, 0.180467,0.089071, 0.246431,0.000001, 0.227747,0.072290, 0.269745,0.044957, 0.091797,0.055166, 0.163862,0.048035, 0.131795,1.207762
24,0.148985, 0.301726,0.000001, 0.230421,0.109543, 0.225356,0.027438, 0.184944,0.064315, 0.187527,0.038879, 0.163892,0.023709, 0.128826,0.045983, 0.118454,1.082293
25,0.105139, 0.268093,0.149981, 0.207477,0.058343, 0.222934,0.019433, 0.186616,0.013307, 0.243961,0.029171, 0.067476,0.000001, 0.164646,0.051828, 0.211593,1.145593
26,0.045844, 0.359142,0.000001, 0.304777,0.101246, 0.257895,0.023939, 0.235857,0.000001, 0.152597,0.000001, 0.175363,0.000001, 0.170549,0.047072, 0.125714,1.563788
27,0.086679, 0.217690,0.077745, 0.222515,0.005800, 0.204100,0.000001, 0.326517,0.000001, 0.211073,0.014331, 0.148880,0.063869, 0.256475,0.000001, 0.164324,1.503147
28,0.071432, 0.246704,0.066357, 0.241447,0.000001, 0.356132,0.000001, 0.193748,0.029185, 0.167112,0.082120, 0.178175,0.020878, 0.127164,0.000001, 0.219543,1.460049
29,0.037887, 0.261615,0.000001, 0.296304,0.041413, 0.286885,0.066953, 0.216248,0.039927, 0.212503,0.035517, 0.157713,0.023072, 0.149552,0.050450, 0.123960,1.409560
