No.,tL,tR
true,0.769231,1.428571
0,0.801054,1.330419
1,0.713559,1.670632
2,0.806597,1.315402
3,0.834927,1.246432
4,0.732545,1.575056
5,0.787777,1.368725
6,0.694356,1.786301
7,0.764345,1.445734
8,0.793106,1.352936
9,0.719329,1.639842
10,0.679437,1.893251
11,0.787802,1.368650
12,0.727193,1.600382
13,0.769354,1.428145
14,0.754526,1.482217
15,0.690666,1.811194
16,0.778988,1.396096
17,0.785663,1.375158
18,0.812398,1.300258
19,0.727500,1.598897
20,0.729793,1.587932
21,0.727714,1.597870
22,0.752231,1.491153
23,0.762936,1.450804
24,0.745078,1.520087
25,0.680922,1.881811
26,0.701726,1.739303
27,0.727858,1.597174
28,0.709987,1.690551
29,0.691354,1.806479
30,0.696838,1.770078
31,0.743291,1.527573
32,0.819865,1.281580
33,0.721788,1.627202
34,0.756830,1.473401
35,0.783268,1.382560
36,0.846529,1.221440
37,0.845820,1.222918
38,0.819054,1.283565
39,0.729043,1.591503
40,0.672117,1.952503
41,0.826977,1.264579
42,0.749830,1.500677
43,0.771337,1.421363
44,0.896401,1.130674
45,0.714321,1.666472
46,0.674998,1.928588
47,0.832634,1.251579
48,0.753662,1.485564
49,0.784561,1.378544
50,0.786894,1.371405
51,0.684893,1.852130
52,0.751073,1.495725
53,0.730172,1.586138
54,0.758325,1.467774
55,0.838214,1.239179
56,0.705950,1.713878
57,0.753580,1.485882
58,0.719656,1.638138
59,0.806596,1.315407
60,0.738050,1.550203
61,0.707085,1.707236
62,0.741186,1.536544
63,0.659698,2.065459
64,0.714100,1.667684
65,0.782669,1.384426
66,0.734922,1.564186
67,0.763350,1.449305
68,0.818871,1.284015
69,0.727024,1.601207
70,0.763109,1.450169
71,0.710650,1.686804
72,0.733266,1.571744
73,0.704271,1.723864
74,0.795387,1.346348
75,0.712346,1.677320
76,0.695631,1.777917
77,0.717656,1.648601
78,0.764280,1.445964
79,0.736393,1.557562
80,0.722516,1.623519
81,0.718183,1.645828
82,0.707522,1.704693
83,0.767796,1.433550
84,0.781158,1.389178
85,0.845726,1.223114
86,0.778617,1.397292
87,0.693842,1.789716
88,0.791662,1.357154
89,0.675185,1.927061
90,0.736212,1.558370
91,0.763901,1.447329
92,0.777870,1.399700
93,0.733898,1.568846
94,0.721787,1.627210
95,0.697125,1.768228
96,0.787800,1.368663
97,0.729227,1.590622
98,0.746161,1.515595
99,0.693236,1.793761
100,0.905862,1.115974
101,0.744024,1.524492
102,0.758101,1.468616
103,0.757123,1.472294
104,0.721207,1.630159
105,0.654535,2.117765
106,0.803043,1.324967
107,0.790902,1.359398
108,0.755660,1.477862
109,0.801273,1.329814
110,0.849829,1.214634
111,0.726521,1.603651
112,0.741052,1.537121
113,0.693429,1.792462
114,0.733173,1.572169
115,0.805104,1.319394
116,0.690388,1.813102
117,0.722308,1.624563
118,0.715675,1.659156
119,0.774228,1.411648
120,0.751397,1.494440
121,0.711628,1.681314
122,0.715475,1.660231
123,0.713260,1.672277
124,0.703976,1.725631
125,0.759898,1.461918
126,0.748748,1.505031
127,0.775103,1.408748
128,0.676583,1.915768
129,0.765747,1.440748
130,0.774373,1.411168
131,0.884132,1.150817
132,0.775139,1.408629
133,0.686867,1.837847
134,0.750817,1.496742
135,0.783105,1.383067
136,0.696385,1.773015
137,0.736625,1.556524
138,0.731736,1.578814
139,0.771787,1.419841
140,0.757207,1.471976
141,0.702957,1.731788
142,0.677569,1.907905
143,0.653182,2.132037
144,0.721230,1.630050
145,0.754751,1.481352
146,0.753459,1.486352
147,0.725157,1.610337
148,0.804926,1.319874
149,0.876988,1.163150
150,0.723595,1.618094
151,0.710235,1.689146
152,0.670523,1.966073
153,0.675682,1.923029
154,0.729022,1.591599
155,0.761744,1.455134
156,0.767114,1.435936
157,0.761050,1.457671
158,0.755801,1.477321
159,0.792051,1.356015
160,0.688304,1.827642
161,0.753049,1.487949
162,0.707247,1.706284
163,0.741237,1.536330
164,0.733015,1.572883
165,0.846930,1.220609
166,0.797720,1.339714
167,0.751349,1.494641
168,0.775145,1.408611
169,0.749325,1.502702
170,0.735842,1.560031
171,0.714629,1.664805
172,0.728072,1.596149
173,0.686702,1.839033
174,0.746717,1.513306
175,0.807933,1.311863
176,0.739227,1.545031
177,0.690803,1.810246
