MDAI_2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Difficult Problems,,The number of correct selections,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Maximin,maximin,A,,,B,,,C,,,D,,,E,,,,Maximax,maximin,A,,,B,,,C,,,D,,,E,,
,,,min,standard,max,min,standard,max,min,standard,max,min,standard,max,min,standard,max,,,,min,standard,max,min,standard,max,min,standard,max,min,standard,max,min,standard,max
,n=4,EV,562790,586994,595980,547646,555522,564990,549035,573115,592665,549355,568867,590431,558719,561337,568937,,n=4,EV,497926,510976,533864,571816,555680,543994,509127,518709,529785,536513,531979,539305,542111,540061,540185
,,MMRw,717796,711230,709639,682377,684715,632704,710485,699816,688369,729986,719057,697066,675378,675686,643798,,,MMRw,711934,716904,721194,619180,664636,694493,654415,685032,717481,710429,721680,727920,629441,670911,687929
,,E-MMRww,679218,685662,683826,696681,681282,651506,679330,674957,668095,692713,697807,680231,691505,678221,657062,,,E-MMRww,603202,634930,660234,661219,682232,695507,592113,628564,667066,633967,669195,688967,636657,667155,682642
,,AMRw,669102,678546,674395,611159,618032,610308,638541,647764,657599,637570,651824,647985,633036,620792,616215,,,AMRw,664724,661078,655907,601533,610547,614083,596310,612566,622685,660208,647258,628135,635055,635639,629391
,,E-AMRww,642623,655134,651497,656618,650486,640213,639347,645977,647694,646775,659246,647138,656284,646774,633918,,,E-AMRww,557944,586976,613479,639143,645147,649910,558541,590239,621346,590497,618867,636154,603338,622564,636432
,n=5,EV,497926,510976,533864,571816,555680,543994,509127,518709,529785,536513,531979,539305,542111,540061,540185,,n=5,EV,442558,477404,536692,568936,539476,534051,464804,496072,538716,500386,516877,540667,507429,513921,541463
,,MMRw,711934,716904,721194,619180,664636,694493,654415,685032,717481,710429,721680,727920,629441,670911,687929,,,MMRw,751775,760844,783734,653601,705169,775695,703582,738519,779737,756740,767161,784774,654814,712101,766053
,,E-MMRww,603202,634930,660234,661219,682232,695507,592113,628564,667066,633967,669195,688967,636657,667155,682642,,,E-MMRww,561905,626670,703356,669294,726599,762855,565045,654623,723298,605763,689122,733089,616427,678854,734111
,,AMRw,664724,661078,655907,601533,610547,614083,596310,612566,622685,660208,647258,628135,635055,635639,629391,,,AMRw,671418,679241,693959,641536,638152,655576,624065,637443,663898,692036,683454,668865,664686,670219,680619
