MDAI_2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Difficult Problems,,The number of correct selections,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Maximin,maximin,A,,,B,,,C,,,D,,,E,,,,Maximax,maximin,A,,,B,,,C,,,D,,,E,,
,,,min,standard,max,min,standard,max,min,standard,max,min,standard,max,min,standard,max,,,,min,standard,max,min,standard,max,min,standard,max,min,standard,max,min,standard,max
,n=4,EV,862604,855796,855518,882070,865716,864788,870997,866981,865615,885362,860040,860966,857139,846023,849803,,n=4,EV,862604,855796,855518,882070,865716,864788,870997,866981,865615,885362,860040,860966,857139,846023,849803
,,MMRw,874384,874194,875782,856707,855930,853948,851915,853279,860465,870465,871505,872477,842641,852733,855676,,,MMRw,874384,874194,875782,856707,855930,853948,851915,853279,860465,870465,871505,872477,842641,852733,855676
,,E-MMRww,870461,873079,872876,885129,883644,885050,853894,860758,868125,883024,882070,883256,876059,875430,880194,,,E-MMRww,870461,873079,872876,885129,883644,885050,853894,860758,868125,883024,882070,883256,876059,875430,880194
,,AMRw,874815,877426,878433,869101,866418,867786,849269,862621,872516,875429,871875,874058,862359,858743,861726,,,AMRw,874815,877426,878433,869101,866418,867786,849269,862621,872516,875429,871875,874058,862359,858743,861726
,,E-AMRww,869973,870218,869417,886835,882739,883969,862245,869243,874027,886285,876621,878797,873186,868545,874531,,,E-AMRww,869584,869925,869281,887653,883187,884089,860960,868402,873481,886321,876603,879017,873846,868697,874801
,n=5,EV,836132,856640,876408,856350,866076,886338,829665,857553,874039,847313,867603,890399,857835,865023,880189,,n=5,EV,878528,860290,850890,893792,880474,862036,864729,856158,843730,893024,876318,855093,882675,870231,861647
,,MMRw,848871,863001,886194,826301,848100,869752,835211,847613,868749,846554,858442,876708,835930,864080,885775,,,MMRw,862054,867432,863775,833509,833787,836101,840397,847096,855945,846914,851442,858466,824034,838603,850291
,,E-MMRww,843926,852800,855704,877620,879696,873085,843012,851379,851106,865176,870106,862711,874745,879755,877945,,,E-MMRww,868234,871012,865297,893772,895277,893364,849874,859182,869345,881315,885939,880600,885850,890191,890613
,,AMRw,885168,895823,902218,867104,874597,879251,861543,882042,885101,877003,888014,890663,883996,888125,892451,,,AMRw,889557,891801,894737,873012,876224,870868,854849,871127,876879,877767,886190,881350,880764,883273,882963
,,E-AMRww,854976,870774,878524,884859,890584,892050,852127,871387,875010,872580,885672,886464,882605,888356,891582,,,E-AMRww,873737,873025,870029,895409,896444,893334,857963,865003,870273,887996,889911,882701,887164,888336,889327
,n=6,EV,772543,812785,845791,777868,779932,822326,744416,795744,823786,777687,803370,843760,769224,793092,818321,,n=6,EV,809809,785434,781016,841656,818934,771266,795506,780982,763324,842003,792707,765947,790075,772069,762283
,,MMRw,773819,799984,842898,735861,776929,792523,759682,790311,815623,782059,801941,822221,749754,798071,826142,,,MMRw,782358,808566,826470,670741,701521,765194,707597,762413,820517,745058,783733,821373,674321,733985,795885
,,E-MMRww,795964,810644,808942,828384,818213,784939,798162,805185,781565,817217,818894,791082,808248,816578,795976,,,E-MMRww,792792,811836,828820,830640,838288,840422,785662,812295,829839,807698,825492,828860,786019,812516,825037
,,AMRw,843328,867221,876508,796346,797731,801042,789649,830605,838977,822987,842737,848190,819168,845545,844364,,,AMRw,826410,846170,859753,793772,804194,800720,769672,806394,833629,810753,829720,832664,783007,806570,826864
,,E-AMRww,805055,835591,849170,828727,825655,822747,792997,825655,825575,821638,838376,837251,817644,836904,836622,,,E-AMRww,799233,809852,828815,838012,842259,834768,788214,807822,821773,819429,822330,823841,795978,811281,823698
,n=7,EV,690350,775666,842346,716194,722556,800650,709214,761436,825988,705197,761085,837970,686422,748939,826580,,n=7,EV,816678,718820,730068,828144,765130,693354,802842,740942,725706,839916,751035,720795,790402,737396,709731
,,MMRw,833290,814568,824953,768971,798177,772241,791651,805658,798982,815660,813136,801508,794132,807887,798177,,,MMRw,756622,810384,832177,635503,707999,805196,688499,758137,819765,703833,774557,822080,655023,741392,814272
,,E-MMRww,820852,815606,783623,828648,801674,735418,823701,815390,775101,821446,814791,763684,814135,808688,760626,,,E-MMRww,782772,792109,815998,791358,814267,813761,781975,802656,817024,793229,812596,808909,760806,795927,815736
,,AMRw,816829,854384,861468,790931,774430,775860,794504,815103,826541,802649,823333,828168,798760,824035,830605,,,AMRw,818530,825634,843674,771141,788340,786834,768344,800211,824289,803477,821062,814996,775585,802473,819355
,,E-AMRww,789444,832257,843211,812080,802866,799813,799390,824947,831445,798954,825979,829067,789607,820317,827307,,,E-AMRww,795385,775402,809355,805825,809762,793676,786861,787975,806651,809796,801487,801286,779011,789813,803084
,n=8,EV,664908,743664,803772,690605,680731,737707,671217,720509,777159,685176,715108,783960,660040,705560,753107,,n=8,EV,770128,672608,698694,773879,721174,653232,745815,705743,689385,786581,695514,668545,718923,661157,657903
,,MMRw,839781,816890,810001,733712,785965,725182,770669,789586,745908,792004,799118,746764,780654,798779,774252,,,MMRw,767111,826645,830996,558833,659294,809088,608987,713772,810404,650372,756356,830683,612859,746596,819330
,,E-MMRww,798621,809173,755276,807496,781383,673030,795442,793354,715465,804851,795493,698210,797330,792176,712260,,,E-MMRww,732857,760993,799769,751530,782576,807651,728553,767251,805010,740697,780462,796584,716039,764130,798286
